LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1819CAT1,T1819CAT2,T1819CAT3,T1819CAT4,T1819CAT5,T1819SUM,T1819CAT1LA,T1819CAT2LA,T1819CAT3LA,T1819CAT4LA,T1819CAT5LA,T1920CAT1,T1920CAT2,T1920CAT3,T1920CAT4,T1920CAT5,T1920SUM,T1920CAT1LA,T1920CAT2LA,T1920CAT3LA,T1920CAT4LA,T1920CAT5LA,T2021CAT1,T2021CAT2,T2021CAT3,T2021CAT4,T2021CAT5,T2021SUM,T2021CAT1LA,T2021CAT2LA,T2021CAT3LA,T2021CAT4LA,T2021CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1819CAT1,PT1819CAT2,PT1819CAT3,PT1819CAT4,PT1819CAT5,PT1819CAT1LA,PT1819CAT2LA,PT1819CAT3LA,PT1819CAT4LA,PT1819CAT5LA,PT1920CAT1,PT1920CAT2,PT1920CAT3,PT1920CAT4,PT1920CAT5,PT1920CAT1LA,PT1920CAT2LA,PT1920CAT3LA,PT1920CAT4LA,PT1920CAT5LA,PT2021CAT1,PT2021CAT2,PT2021CAT3,PT2021CAT4,PT2021CAT5,PT2021CAT1LA,PT2021CAT2LA,PT2021CAT3LA,PT2021CAT4LA,PT2021CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
937,125566,Non-London,Primary,158,15.2,,5697,273,5970,2882,19,1094,325,414,286,192,50,90,94,155,156,5757,"3,531",20,406,58,"5,323",1308,"2,857",98,361,57,"4,562",2840,8,421,64,5785,2452,2291,98,386,64,4876,2882,19,414,50,5757,2392,2479,98,386,55,4962,42,11,-7,-14,-28,95,5,50,0,19,6,7,5,3,1,2,2,3,3,66%,0%,8%,1%,100%,NA,NA,NA,NA,NA,49%,0%,7%,1%,100%,NA,NA,NA,NA,NA,50%,0%,7%,1%,100%,NA,NA,NA,NA,NA,1%,0%,0%,0%,0%
937,125570,Non-London,Primary,507,27.8,,5139,143,5282,2622,140,834,192,445,150,173,26,86,41,104,77,4890,"2,723",114,291,44,"4,086",914,"2,857",98,361,57,"4,562",2411,84,456,28,4818,1839,2291,98,386,64,4876,2622,140,445,26,4890,1657,2479,98,386,55,4962,211,56,-11,-2,72,97,3,54,3,17,4,9,3,4,1,2,1,2,2,67%,3%,7%,1%,100%,NA,NA,NA,NA,NA,50%,2%,9%,1%,100%,NA,NA,NA,NA,NA,54%,3%,9%,1%,100%,NA,NA,NA,NA,NA,4%,1%,0%,0%,0%
937,125573,Non-London,Primary,177,15.8,,5698,256,5954,2476,75,921,212,436,266,451,55,56,30,181,144,5303,"3,011",78,416,57,"4,908",1346,"2,857",98,361,57,"4,562",2338,52,411,87,5304,2416,2291,98,386,64,4876,2476,75,436,55,5303,2261,2479,98,386,55,4962,138,23,25,-32,-1,96,4,47,1,17,4,8,5,9,1,1,1,3,3,61%,2%,8%,1%,100%,NA,NA,NA,NA,NA,44%,1%,8%,2%,100%,NA,NA,NA,NA,NA,47%,1%,8%,1%,100%,NA,NA,NA,NA,NA,3%,0%,0%,-1%,0%
937,125575,Non-London,Primary,228,11.4,,4938,299,5237,2434,104,937,257,488,160,165,44,123,46,93,148,4999,"2,551",98,486,61,"4,188",992,"2,857",98,361,57,"4,562",2277,172,440,65,4701,1747,2291,98,386,64,4876,2434,104,488,44,4999,1929,2479,98,386,55,4962,157,-68,48,-21,298,94,6,49,2,19,5,10,3,3,1,2,1,2,3,61%,2%,12%,1%,100%,NA,NA,NA,NA,NA,48%,4%,9%,1%,100%,NA,NA,NA,NA,NA,49%,2%,10%,1%,100%,NA,NA,NA,NA,NA,1%,-2%,1%,0%,0%
937,125576,Non-London,Primary,210,31.4,,5996,151,6147,2125,176,1403,282,345,182,226,99,241,105,214,122,5520,"3,285",155,408,96,"5,241",1297,"3,233",133,384,66,"5,155",2009,141,423,76,5091,2442,2291,98,386,64,4876,2125,176,345,99,5520,2775,2479,98,386,55,4962,116,35,-78,23,429,98,2,38,3,25,5,6,3,4,2,4,2,4,2,63%,3%,8%,2%,100%,NA,NA,NA,NA,NA,39%,3%,8%,1%,100%,NA,NA,NA,NA,NA,38%,3%,6%,2%,100%,NA,NA,NA,NA,NA,-1%,0%,-2%,1%,0%
937,125579,Non-London,Primary,173,13.3,,5226,265,5491,2474,103,722,279,430,310,387,40,262,43,141,111,5302,"2,903",208,534,63,"5,227",1519,"2,857",98,361,57,"4,562",2326,162,455,44,5412,2425,2291,98,386,64,4876,2474,103,430,40,5302,2255,2479,98,386,55,4962,148,-59,-25,-4,-110,95,5,47,2,14,5,8,6,7,1,5,1,3,2,56%,4%,10%,1%,100%,NA,NA,NA,NA,NA,43%,3%,8%,1%,100%,NA,NA,NA,NA,NA,47%,2%,8%,1%,100%,NA,NA,NA,NA,NA,4%,-1%,0%,0%,0%
937,125580,Non-London,Primary,264,18.2,,4557,434,4991,2152,117,773,258,311,69,249,52,351,18,195,75,4620,"2,771",43,307,48,"4,289",1120,"2,857",98,361,57,"4,562",2152,89,308,52,4638,2037,2291,98,386,64,4876,2152,117,311,52,4620,1988,2479,98,386,55,4962,0,28,3,0,-18,91,9,47,3,17,6,7,1,5,1,8,0,4,2,65%,1%,7%,1%,100%,NA,NA,NA,NA,NA,46%,2%,7%,1%,100%,NA,NA,NA,NA,NA,47%,3%,7%,1%,100%,NA,NA,NA,NA,NA,1%,1%,0%,0%,0%
937,125581,Non-London,Primary,151,13.9,,5467,296,5763,2766,77,828,290,488,307,175,60,53,111,159,269,5583,"3,193",122,501,61,"4,976",1099,"2,857",98,361,57,"4,562",2608,131,520,75,5580,2246,2291,98,386,64,4876,2766,77,488,60,5583,2192,2479,98,386,55,4962,158,-54,-32,-15,3,95,5,50,1,15,5,9,5,3,1,1,2,3,5,64%,2%,10%,1%,100%,NA,NA,NA,NA,NA,47%,2%,9%,1%,100%,NA,NA,NA,NA,NA,50%,1%,9%,1%,100%,NA,NA,NA,NA,NA,3%,-1%,0%,0%,0%
937,125584,Non-London,Primary,149,9.4,,5095,159,5254,2352,133,712,238,491,185,82,34,93,80,281,105,4786,"3,273",37,644,65,"5,287",1268,"2,857",98,361,57,"4,562",2382,26,484,28,4704,1784,2291,98,386,64,4876,2352,133,491,34,4786,1776,2479,98,386,55,4962,-30,107,7,6,82,97,3,49,3,15,5,10,4,2,1,2,2,6,2,62%,1%,12%,1%,100%,NA,NA,NA,NA,NA,51%,1%,10%,1%,100%,NA,NA,NA,NA,NA,49%,3%,10%,1%,100%,NA,NA,NA,NA,NA,-2%,2%,0%,0%,0%
937,125585,Non-London,Primary,183,38.3,,5682,161,5843,2593,182,1108,355,641,108,241,84,115,73,94,136,5730,"3,205",314,584,82,"5,412",1227,"3,233",133,384,66,"5,155",2590,243,622,94,5849,2300,2291,98,386,64,4876,2593,182,641,84,5730,2230,2479,98,386,55,4962,3,-61,19,-10,-119,97,3,45,3,19,6,11,2,4,1,2,1,2,2,59%,6%,11%,2%,100%,NA,NA,NA,NA,NA,44%,4%,11%,2%,100%,NA,NA,NA,NA,NA,45%,3%,11%,1%,100%,NA,NA,NA,NA,NA,1%,-1%,0%,-1%,0%
