RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_19,OVERALL_DESTPER_19,COHORT_DIS_19,OVERALL_DESTPER_DIS_19,COHORT_NONDIS_19,OVERALL_DESTPER_NONDIS_19,COHORT_18,OVERALL_DESTPER_18,COHORT_DIS_18,OVERALL_DESTPER_DIS_18,COHORT_NONDIS_18,OVERALL_DESTPER_NONDIS_18
1,937,4620,141277,0,Lawrence Sheriff School,ACC,121,119,1,0,118,5,110,0,3,1,1,98%,1%,0%,98%,4%,91%,0%,2%,1%,1%,5,SUPP,SUPP,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,116,115,SUPP,0,SUPP,4,107,0,SUPP,SUPP,SUPP,99%,SUPP,0%,SUPP,3%,92%,0%,SUPP,SUPP,SUPP,117,98%,SUPP,SUPP,SUPP,SUPP,116,98%,x,x,x,x
1,937,5400,125764,0,The Avon Valley School and Performing Arts College,FD,216,195,8,7,180,120,60,0,0,17,4,90%,4%,3%,83%,56%,28%,0%,0%,8%,2%,52,42,1,3,38,34,4,0,0,8,2,81%,2%,6%,73%,65%,8%,0%,0%,15%,4%,164,153,7,4,142,86,56,0,0,9,2,93%,4%,2%,87%,52%,34%,0%,0%,5%,1%,206,90%,57,81%,149,94%,213,92%,53,81%,160,96%
1,937,5408,136786,0,Studley High School,ACC,123,115,17,3,95,47,47,1,0,7,1,93%,14%,2%,77%,38%,38%,1%,0%,6%,1%,18,16,3,1,12,SUPP,4,SUPP,0,SUPP,SUPP,89%,17%,6%,67%,SUPP,22%,SUPP,0%,SUPP,SUPP,105,99,14,2,83,SUPP,43,SUPP,0,SUPP,SUPP,94%,13%,2%,79%,SUPP,41%,SUPP,0%,SUPP,SUPP,137,97%,21,95%,116,97%,149,95%,18,100%,131,95%
1,937,4108,136991,0,Henley In Arden School,ACC,109,102,9,1,92,42,45,4,1,4,3,94%,8%,1%,84%,39%,41%,4%,1%,4%,3%,17,14,SUPP,SUPP,13,SUPP,3,0,SUPP,2,1,82%,SUPP,SUPP,76%,SUPP,18%,0%,SUPP,12%,6%,92,88,SUPP,SUPP,79,SUPP,42,4,SUPP,2,2,96%,SUPP,SUPP,86%,SUPP,46%,4%,SUPP,2%,2%,101,96%,16,88%,85,98%,119,95%,16,88%,103,96%
1,937,4110,125734,0,Kineton High School,ACC,144,142,8,4,130,57,70,0,3,2,0,99%,6%,3%,90%,40%,49%,0%,2%,1%,0%,24,SUPP,2,SUPP,20,16,4,0,0,SUPP,0,SUPP,8%,SUPP,83%,67%,17%,0%,0%,SUPP,0%,120,SUPP,6,SUPP,110,41,66,0,3,SUPP,0,SUPP,5%,SUPP,92%,34%,55%,0%,3%,SUPP,0%,134,99%,17,94%,117,99%,108,97%,11,91%,97,98%
1,937,4114,143905,0,Southam College,ACC,260,252,14,3,235,86,145,1,3,8,0,97%,5%,1%,90%,33%,56%,SP,1%,3%,0%,27,23,1,0,22,13,8,SUPP,SUPP,4,0,85%,4%,0%,81%,48%,30%,SUPP,SUPP,15%,0%,233,229,13,3,213,73,137,SUPP,SUPP,4,0,98%,6%,1%,91%,31%,59%,SUPP,SUPP,2%,0%,230,98%,20,100%,210,98%,260,97%,31,90%,229,98%
1,937,4124,137236,0,Stratford Upon Avon School,ACC,233,217,10,6,201,75,122,1,3,12,4,93%,4%,3%,86%,32%,52%,SP,1%,5%,2%,41,33,1,2,30,SUPP,12,SUPP,0,8,0,80%,2%,5%,73%,SUPP,29%,SUPP,0%,20%,0%,192,184,9,4,171,SUPP,110,SUPP,3,4,4,96%,5%,2%,89%,SUPP,57%,SUPP,2%,2%,2%,218,94%,41,93%,177,95%,220,96%,28,89%,192,97%
1,937,4190,137770,0,Aylesford School and Sixth Form College,ACC,119,115,7,4,104,44,59,0,1,2,2,97%,6%,3%,87%,37%,50%,0%,1%,2%,2%,23,20,2,1,17,SUPP,7,0,SUPP,SUPP,SUPP,87%,9%,4%,74%,SUPP,30%,0%,SUPP,SUPP,SUPP,96,95,5,3,87,SUPP,52,0,SUPP,SUPP,SUPP,99%,5%,3%,91%,SUPP,54%,0%,SUPP,SUPP,SUPP,131,95%,36,89%,95,97%,117,89%,22,86%,95,89%
1,937,4192,137766,0,Campion School,ACC,111,104,2,9,93,53,40,0,0,6,1,94%,2%,8%,84%,48%,36%,0%,0%,5%,1%,35,33,0,2,31,24,7,0,0,SUPP,SUPP,94%,0%,6%,89%,69%,20%,0%,0%,SUPP,SUPP,76,71,2,7,62,29,33,0,0,SUPP,SUPP,93%,3%,9%,82%,38%,43%,0%,0%,SUPP,SUPP,85,89%,26,81%,59,93%,90,99%,35,97%,55,100%
1,937,5402,138644,0,Hartshill School,ACC,197,179,6,12,161,84,19,54,4,15,3,91%,3%,6%,82%,43%,10%,27%,2%,8%,2%,55,46,SUPP,SUPP,38,26,2,8,2,9,0,84%,SUPP,SUPP,69%,47%,4%,15%,4%,16%,0%,142,133,SUPP,SUPP,123,58,17,46,2,6,3,94%,SUPP,SUPP,87%,41%,12%,32%,1%,4%,2%,204,90%,62,85%,142,92%,202,92%,70,86%,132,95%
1,937,5403,136907,0,Myton School,ACC,264,253,9,8,236,74,159,1,2,8,3,96%,3%,3%,89%,28%,60%,SP,1%,3%,1%,28,26,0,4,22,SUPP,6,SUPP,0,2,0,93%,0%,14%,79%,SUPP,21%,SUPP,0%,7%,0%,236,227,9,4,214,SUPP,153,SUPP,2,6,3,96%,4%,2%,91%,SUPP,65%,SUPP,1%,3%,1%,266,98%,23,87%,243,99%,226,96%,36,89%,190,98%
1,937,5407,136622,0,Alcester Grammar School,ACC,120,118,0,0,118,5,111,1,1,2,0,98%,0%,0%,98%,4%,93%,1%,1%,2%,0%,4,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,116,114,0,0,114,SUPP,108,SUPP,SUPP,2,0,98%,0%,0%,98%,SUPP,93%,SUPP,SUPP,2%,0%,122,100%,7,100%,115,100%,91,100%,x,x,x,x
2,937,7006,144764,0,Quest Academy,FS,7,6,0,0,6,3,0,0,3,1,0,86%,0%,0%,86%,43%,0%,0%,43%,14%,0%,4,SUPP,0,0,SUPP,SUPP,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,3,SUPP,0,0,SUPP,SUPP,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA,937,,,,,,5623,5322,216,183,4923,1792,2582,412,137,240,61,95%,4%,3%,88%,32%,46%,7%,2%,4%,1%,990,855,30,60,765,450,210,55,50,115,20,86%,3%,6%,77%,46%,21%,6%,5%,12%,2%,4635,4470,185,125,4160,1340,2370,360,90,125,45,96%,4%,3%,90%,29%,51%,8%,2%,3%,1%,5471,95%,975,89%,4495,97%,5493,96%,1025,89%,4465,97%
NAT,,,,,,,543029,508478,19786,17010,471682,195424,198162,69006,9090,27925,6626,94%,4%,3%,87%,36%,36%,13%,2%,5%,1%,144025,126827,3838,5969,117020,63559,34569,14686,4206,14879,2319,88%,3%,4%,81%,44%,24%,10%,3%,10%,2%,399004,381651,15948,11041,354662,131865,163593,54320,4884,13046,4307,96%,4%,3%,89%,33%,41%,14%,1%,3%,1%,524062,94%,141371,88%,382691,96%,528139,94%,142045,88%,386094,96%
