Code,Area,Year,Sex,Pupils,Attainment8,Progress8
E09000023,Lewisham,2015/16,All,2334,47.5,-0.14
E09000023,Lewisham,2015/16,Boys,1236,44.2,-0.35
E09000023,Lewisham,2015/16,Girls,1098,51.2,0.1
E12000007,London,2015/16,All,76596,51.9,0.16
E12000007,London,2015/16,Boys,38434,49.7,0.02
E12000007,London,2015/16,Girls,38162,54.1,0.3
E09000024,Merton,2015/16,All,1440,52.4,0.27
E09000024,Merton,2015/16,Boys,731,50.3,0.1
E09000024,Merton,2015/16,Girls,709,54.6,0.45
E09000025,Newham,2015/16,All,3489,50.9,0.23
E09000025,Newham,2015/16,Boys,1780,48.9,0.1
E09000025,Newham,2015/16,Girls,1709,53.1,0.37
E12000001,North East,2015/16,All,26076,48.7,-0.16
E12000001,North East,2015/16,Boys,13281,46.8,-0.26
E12000001,North East,2015/16,Girls,12795,50.8,-0.05
E12000002,North West,2015/16,All,74057,49.4,-0.15
E12000002,North West,2015/16,Boys,37571,47.1,-0.29
E12000002,North West,2015/16,Girls,36486,51.8,0
E13000002,Outer London,2015/16,All,51526,52.3,0.16
E13000002,Outer London,2015/16,Boys,25905,50.1,0.02
E13000002,Outer London,2015/16,Girls,25621,54.4,0.3
E09000026,Redbridge,2015/16,All,3363,53.9,0.28
E09000026,Redbridge,2015/16,Boys,1747,51.5,0.11
E09000026,Redbridge,2015/16,Girls,1616,56.5,0.47
E09000027,Richmond upon Thames,2015/16,All,1367,54.6,0.1
E09000027,Richmond upon Thames,2015/16,Boys,638,52.1,-0.07
E09000027,Richmond upon Thames,2015/16,Girls,729,56.8,0.24
E12000008,South East,2015/16,All,85618,51,0.02
E12000008,South East,2015/16,Boys,43784,48.7,-0.12
E12000008,South East,2015/16,Girls,41834,53.4,0.16
E12000009,South West,2015/16,All,52421,50.3,-0.05
E12000009,South West,2015/16,Boys,26725,48.3,-0.18
E12000009,South West,2015/16,Girls,25696,52.3,0.08
E09000028,Southwark,2015/16,All,2386,52.9,0.22
E09000028,Southwark,2015/16,Boys,1141,51.3,0.15
E09000028,Southwark,2015/16,Girls,1245,54.5,0.3
E09000029,Sutton,2015/16,All,2667,58.7,0.17
E09000029,Sutton,2015/16,Boys,1370,57.1,0
E09000029,Sutton,2015/16,Girls,1297,60.3,0.34
E09000030,Tower Hamlets,2015/16,All,2570,50.2,0.15
E09000030,Tower Hamlets,2015/16,Boys,1294,48.7,0.04
E09000030,Tower Hamlets,2015/16,Girls,1276,51.7,0.26
E09000031,Waltham Forest,2015/16,All,2539,50.4,0.23
E09000031,Waltham Forest,2015/16,Boys,1259,48,0.06
E09000031,Waltham Forest,2015/16,Girls,1280,52.8,0.39
E09000032,Wandsworth,2015/16,All,1660,52.1,0.15
E09000032,Wandsworth,2015/16,Boys,872,50.7,0.05
E09000032,Wandsworth,2015/16,Girls,788,53.6,0.25
E12000005,West Midlands,2015/16,All,60215,49.2,-0.08
E12000005,West Midlands,2015/16,Boys,30996,46.9,-0.22
E12000005,West Midlands,2015/16,Girls,29219,51.6,0.08
E09000033,Westminster,2015/16,All,1566,54.5,0.32
E09000033,Westminster,2015/16,Boys,763,51,0.09
E09000033,Westminster,2015/16,Girls,803,57.8,0.53
E12000003,Yorkshire and the Humber,2015/16,All,54562,48.9,-0.03
E12000003,Yorkshire and the Humber,2015/16,Boys,27760,46.7,-0.17
E12000003,Yorkshire and the Humber,2015/16,Girls,26802,51.2,0.11
E09000002,Barking and Dagenham,2016/17,All,2185,46.7,0.23
E09000002,Barking and Dagenham,2016/17,Boys,1146,43.5,0.01
E09000002,Barking and Dagenham,2016/17,Girls,1039,50.1,0.47
E09000003,Barnet,2016/17,All,3528,54.7,0.47
E09000003,Barnet,2016/17,Boys,1811,52.3,0.25
E09000003,Barnet,2016/17,Girls,1717,57.2,0.7
E09000004,Bexley,2016/17,All,3141,49,-0.05
E09000004,Bexley,2016/17,Boys,1558,46.5,-0.23
E09000004,Bexley,2016/17,Girls,1583,51.5,0.12
E09000005,Brent,2016/17,All,2908,49,0.49
E09000005,Brent,2016/17,Boys,1444,46.8,0.32
E09000005,Brent,2016/17,Girls,1464,51.1,0.66
E09000006,Bromley,2016/17,All,3258,49.8,0.12
E09000006,Bromley,2016/17,Boys,1568,46.9,-0.12
E09000006,Bromley,2016/17,Girls,1690,52.5,0.34
E09000007,Camden,2016/17,All,1513,48.3,0.05
E09000007,Camden,2016/17,Boys,635,44.3,-0.24
E09000007,Camden,2016/17,Girls,878,51.2,0.26
E09000001,City of London,2016/17,All,.,.,.
E09000001,City of London,2016/17,Boys,.,.,.
E09000001,City of London,2016/17,Girls,.,.,.
E09000008,Croydon,2016/17,All,3579,45,0.06
E09000008,Croydon,2016/17,Boys,1716,41.3,-0.19
E09000008,Croydon,2016/17,Girls,1863,48.5,0.28
E09000009,Ealing,2016/17,All,2722,48.7,0.42
E09000009,Ealing,2016/17,Boys,1393,46.1,0.23
E09000009,Ealing,2016/17,Girls,1329,51.5,0.61
E12000006,East,2016/17,All,60153,46.7,-0.01
E12000006,East,2016/17,Boys,30400,44,-0.22
E12000006,East,2016/17,Girls,29753,49.4,0.21
E12000004,East Midlands,2016/17,All,45492,45.4,-0.11
E12000004,East Midlands,2016/17,Boys,23155,42.9,-0.31
E12000004,East Midlands,2016/17,Girls,22337,47.9,0.1
E09000010,Enfield,2016/17,All,3487,46.2,0.07
E09000010,Enfield,2016/17,Boys,1864,44.1,-0.14
E09000010,Enfield,2016/17,Girls,1623,48.6,0.31
E92000001,England,2016/17,All,524932,46.4,-0.03
E92000001,England,2016/17,Boys,266822,43.8,-0.24
E92000001,England,2016/17,Girls,258110,49.1,0.18
E09000011,Greenwich,2016/17,All,2166,45.9,-0.05
E09000011,Greenwich,2016/17,Boys,1135,43.3,-0.26
E09000011,Greenwich,2016/17,Girls,1031,48.8,0.19
E09000012,Hackney,2016/17,All,2002,49.4,0.38
E09000012,Hackney,2016/17,Boys,917,46.2,0.17
E09000012,Hackney,2016/17,Girls,1085,52.1,0.56
E09000013,Hammersmith and Fulham,2016/17,All,1313,50.9,0.17
E09000013,Hammersmith and Fulham,2016/17,Boys,675,47.2,-0.03
E09000013,Hammersmith and Fulham,2016/17,Girls,638,54.8,0.39
E09000014,Haringey,2016/17,All,2127,46.5,0.29
E09000014,Haringey,2016/17,Boys,1110,44.6,0.12
E09000014,Haringey,2016/17,Girls,1017,48.6,0.48
E09000015,Harrow,2016/17,All,2049,49.7,0.47
E09000015,Harrow,2016/17,Boys,1029,46.8,0.22
E09000015,Harrow,2016/17,Girls,1020,52.6,0.72
E09000016,Havering,2016/17,All,2794,47.5,-0.04
E09000016,Havering,2016/17,Boys,1435,45.6,-0.16
E09000016,Havering,2016/17,Girls,1359,49.5,0.09
E09000017,Hillingdon,2016/17,All,3075,47.1,0.14
E09000017,Hillingdon,2016/17,Boys,1631,44.2,-0.09
E09000017,Hillingdon,2016/17,Girls,1444,50.4,0.4
E09000018,Hounslow,2016/17,All,2641,48,0.41
E09000018,Hounslow,2016/17,Boys,1392,45.6,0.25
E09000018,Hounslow,2016/17,Girls,1249,50.7,0.57
E13000001,Inner London,2016/17,All,24971,48.2,0.21
E13000001,Inner London,2016/17,Boys,12483,45.6,0.01
E13000001,Inner London,2016/17,Girls,12488,50.8,0.41
E09000019,Islington,2016/17,All,1377,45.6,0.13
E09000019,Islington,2016/17,Boys,715,43.8,-0.07
E09000019,Islington,2016/17,Girls,662,47.5,0.35
E09000020,Kensington and Chelsea,2016/17,All,739,55,0.45
E09000020,Kensington and Chelsea,2016/17,Boys,433,55.5,0.33
E09000020,Kensington and Chelsea,2016/17,Girls,306,54.2,0.62
E09000021,Kingston upon Thames,2016/17,All,1517,55.5,0.41
E09000021,Kingston upon Thames,2016/17,Boys,726,53.3,0.21
E09000021,Kingston upon Thames,2016/17,Girls,791,57.6,0.6
E09000022,Lambeth,2016/17,All,1949,44.3,-0.12
E09000022,Lambeth,2016/17,Boys,1016,40.9,-0.38
E09000022,Lambeth,2016/17,Girls,933,48,0.16
E09000023,Lewisham,2016/17,All,2247,44.2,-0.28
E09000023,Lewisham,2016/17,Boys,1165,41.5,-0.49
E09000023,Lewisham,2016/17,Girls,1082,47.2,-0.05
E12000007,London,2016/17,All,75518,48.9,0.22
E12000007,London,2016/17,Boys,38243,46.3,0.02
E12000007,London,2016/17,Girls,37275,51.5,0.43
E09000024,Merton,2016/17,All,1420,50.2,0.5
E09000024,Merton,2016/17,Boys,725,47.5,0.3
E09000024,Merton,2016/17,Girls,695,53,0.7
E09000025,Newham,2016/17,All,3523,48.4,0.41
E09000025,Newham,2016/17,Boys,1753,46.1,0.26
E09000025,Newham,2016/17,Girls,1770,50.7,0.56
E12000001,North East,2016/17,All,25177,44.6,-0.21
E12000001,North East,2016/17,Boys,12871,42.1,-0.4
E12000001,North East,2016/17,Girls,12306,47.4,-0.01
E12000002,North West,2016/17,All,72289,45.6,-0.14
E12000002,North West,2016/17,Boys,36627,43,-0.35
E12000002,North West,2016/17,Girls,35662,48.3,0.07
E13000002,Outer London,2016/17,All,50547,49.2,0.23
E13000002,Outer London,2016/17,Boys,25760,46.6,0.02
E13000002,Outer London,2016/17,Girls,24787,51.9,0.44
E09000026,Redbridge,2016/17,All,3458,51.2,0.42
E09000026,Redbridge,2016/17,Boys,1817,48.2,0.17
E09000026,Redbridge,2016/17,Girls,1641,54.4,0.69
E09000027,Richmond upon Thames,2016/17,All,1374,52.7,0.14
E09000027,Richmond upon Thames,2016/17,Boys,698,49.3,-0.1
E09000027,Richmond upon Thames,2016/17,Girls,676,56.2,0.39
E12000008,South East,2016/17,All,83903,47.4,-0.02
E12000008,South East,2016/17,Boys,43111,44.8,-0.24
E12000008,South East,2016/17,Girls,40792,50.3,0.21
E12000009,South West,2016/17,All,50308,46.2,-0.13
E12000009,South West,2016/17,Boys,25708,43.5,-0.34
E12000009,South West,2016/17,Girls,24600,49.1,0.1
E09000028,Southwark,2016/17,All,2328,50.5,0.31
E09000028,Southwark,2016/17,Boys,1109,49,0.24
E09000028,Southwark,2016/17,Girls,1219,51.8,0.37
E09000029,Sutton,2016/17,All,2759,56.2,0.24
E09000029,Sutton,2016/17,Boys,1418,54.6,0.06
E09000029,Sutton,2016/17,Girls,1341,57.8,0.43
E09000030,Tower Hamlets,2016/17,All,2623,47.2,0.25
E09000030,Tower Hamlets,2016/17,Boys,1303,44.1,-0.04
E09000030,Tower Hamlets,2016/17,Girls,1320,50.3,0.54
E09000031,Waltham Forest,2016/17,All,2486,45.5,0.14
E09000031,Waltham Forest,2016/17,Boys,1254,43,-0.09
E09000031,Waltham Forest,2016/17,Girls,1232,47.9,0.38
E09000032,Wandsworth,2016/17,All,1695,49.5,0.21
E09000032,Wandsworth,2016/17,Boys,925,48.2,0.12
E09000032,Wandsworth,2016/17,Girls,770,51.1,0.31
E12000005,West Midlands,2016/17,All,58919,45.4,-0.08
E12000005,West Midlands,2016/17,Boys,29701,42.7,-0.29
E12000005,West Midlands,2016/17,Girls,29218,48.1,0.14
E09000033,Westminster,2016/17,All,1535,52.6,0.47
E09000033,Westminster,2016/17,Boys,727,47.7,0.16
E09000033,Westminster,2016/17,Girls,808,57,0.76
E12000003,Yorkshire and the Humber,2016/17,All,53173,45.4,0.03
E12000003,Yorkshire and the Humber,2016/17,Boys,27006,43.1,-0.16
E12000003,Yorkshire and the Humber,2016/17,Girls,26167,47.8,0.22
E09000002,Barking and Dagenham,2017/18,All,2199,46.1,0.17
E09000002,Barking and Dagenham,2017/18,Boys,1119,43.3,0
E09000002,Barking and Dagenham,2017/18,Girls,1080,49.1,0.34
E09000003,Barnet,2017/18,All,3810,56,0.57
E09000003,Barnet,2017/18,Boys,1978,53.1,0.33
E09000003,Barnet,2017/18,Girls,1832,59.1,0.83
E09000004,Bexley,2017/18,All,3032,49.6,-0.1
E09000004,Bexley,2017/18,Boys,1508,46.9,-0.33
E09000004,Bexley,2017/18,Girls,1524,52.3,0.12
E09000005,Brent,2017/18,All,2858,49.9,0.54
E09000005,Brent,2017/18,Boys,1480,47.7,0.34
E09000005,Brent,2017/18,Girls,1378,52.2,0.75
E09000006,Bromley,2017/18,All,3214,50.3,0.03
E09000006,Bromley,2017/18,Boys,1614,46.6,-0.24
E09000006,Bromley,2017/18,Girls,1600,53.9,0.31
E09000007,Camden,2017/18,All,1533,48,0.07
E09000007,Camden,2017/18,Boys,649,42,-0.37
E09000007,Camden,2017/18,Girls,884,52.4,0.39
E09000001,City of London,2017/18,All,.,.,.
E09000001,City of London,2017/18,Boys,.,.,.
E09000001,City of London,2017/18,Girls,.,.,.
E09000008,Croydon,2017/18,All,3452,45.8,0.07
E09000008,Croydon,2017/18,Boys,1669,42.4,-0.15
E09000008,Croydon,2017/18,Girls,1783,49,0.27
E09000009,Ealing,2017/18,All,2853,50,0.53
E09000009,Ealing,2017/18,Boys,1393,47.2,0.29
E09000009,Ealing,2017/18,Girls,1460,52.6,0.76
E12000006,East,2017/18,All,59100,47,0.03
E12000006,East,2017/18,Boys,30215,44.5,-0.19
E12000006,East,2017/18,Girls,28885,49.6,0.25
E12000004,East Midlands,2017/18,All,45234,45.5,-0.09
E12000004,East Midlands,2017/18,Boys,23164,42.9,-0.33
E12000004,East Midlands,2017/18,Girls,22070,48.3,0.16
E09000010,Enfield,2017/18,All,3414,46.3,0.08
E09000010,Enfield,2017/18,Boys,1745,43.2,-0.21
E09000010,Enfield,2017/18,Girls,1669,49.5,0.39
E92000001,England,2017/18,All,583617,44.5,.
E92000001,England,2017/18,Boys,299529,41.5,.
E92000001,England,2017/18,Girls,284088,47.7,.
E09000011,Greenwich,2017/18,All,2269,44.5,-0.18
E09000011,Greenwich,2017/18,Boys,1151,42,-0.34
E09000011,Greenwich,2017/18,Girls,1118,47.1,-0.02
E09000012,Hackney,2017/18,All,2058,49,0.31
E09000012,Hackney,2017/18,Boys,908,45.3,-0.02
E09000012,Hackney,2017/18,Girls,1150,51.9,0.57
E09000013,Hammersmith and Fulham,2017/18,All,1291,52.9,0.34
E09000013,Hammersmith and Fulham,2017/18,Boys,638,48.9,0.06
E09000013,Hammersmith and Fulham,2017/18,Girls,653,56.7,0.62
E09000014,Haringey,2017/18,All,2190,46.3,0.16
E09000014,Haringey,2017/18,Boys,1094,43.5,-0.07
E09000014,Haringey,2017/18,Girls,1096,49.1,0.39
E09000015,Harrow,2017/18,All,2044,50.7,0.45
E09000015,Harrow,2017/18,Boys,996,47.7,0.22
E09000015,Harrow,2017/18,Girls,1048,53.4,0.67
E09000016,Havering,2017/18,All,2774,46.9,-0.09
E09000016,Havering,2017/18,Boys,1440,45,-0.23
E09000016,Havering,2017/18,Girls,1334,48.9,0.07
E09000017,Hillingdon,2017/18,All,3064,47.8,0.15
E09000017,Hillingdon,2017/18,Boys,1572,45.3,-0.08
E09000017,Hillingdon,2017/18,Girls,1492,50.5,0.38
E09000018,Hounslow,2017/18,All,2666,49.4,0.43
E09000018,Hounslow,2017/18,Boys,1369,46.5,0.21
E09000018,Hounslow,2017/18,Girls,1297,52.4,0.65
E13000001,Inner London,2017/18,All,25466,48.3,0.19
E13000001,Inner London,2017/18,Boys,12570,45.4,-0.06
E13000001,Inner London,2017/18,Girls,12896,51.1,0.43
E09000019,Islington,2017/18,All,1404,46.3,0.15
E09000019,Islington,2017/18,Boys,746,44.9,0.05
E09000019,Islington,2017/18,Girls,658,47.9,0.26
E09000020,Kensington and Chelsea,2017/18,All,718,51.6,0.11
E09000020,Kensington and Chelsea,2017/18,Boys,405,52.3,0.09
E09000020,Kensington and Chelsea,2017/18,Girls,313,50.6,0.13
E09000021,Kingston upon Thames,2017/18,All,1515,57.8,0.53
E09000021,Kingston upon Thames,2017/18,Boys,720,54.7,0.33
E09000021,Kingston upon Thames,2017/18,Girls,795,60.5,0.71
E09000022,Lambeth,2017/18,All,2114,44.6,-0.05
E09000022,Lambeth,2017/18,Boys,1073,41.9,-0.34
E09000022,Lambeth,2017/18,Girls,1041,47.4,0.24
E09000023,Lewisham,2017/18,All,2104,44.9,-0.22
E09000023,Lewisham,2017/18,Boys,1046,41.8,-0.45
E09000023,Lewisham,2017/18,Girls,1058,47.9,0.02
E12000007,London,2017/18,All,76224,49.4,0.23
E12000007,London,2017/18,Boys,38223,46.7,0
E12000007,London,2017/18,Girls,38001,52.1,0.45
E09000024,Merton,2017/18,All,1404,49.7,0.44
E09000024,Merton,2017/18,Boys,721,47.4,0.24
E09000024,Merton,2017/18,Girls,683,52.2,0.65
E09000025,Newham,2017/18,All,3745,48.7,0.32
E09000025,Newham,2017/18,Boys,1869,46,0.08
E09000025,Newham,2017/18,Girls,1876,51.4,0.55
E12000001,North East,2017/18,All,24838,44.9,-0.23
E12000001,North East,2017/18,Boys,12700,42.4,-0.45
E12000001,North East,2017/18,Girls,12138,47.6,-0.01
E12000002,North West,2017/18,All,71555,45.7,-0.16
E12000002,North West,2017/18,Boys,36410,43,-0.4
E12000002,North West,2017/18,Girls,35145,48.5,0.09
E13000002,Outer London,2017/18,All,50758,49.9,0.24
E13000002,Outer London,2017/18,Boys,25653,47.3,0.03
E13000002,Outer London,2017/18,Girls,25105,52.6,0.46
E09000026,Redbridge,2017/18,All,3508,53.1,0.47
E09000026,Redbridge,2017/18,Boys,1839,50.6,0.25
E09000026,Redbridge,2017/18,Girls,1669,55.7,0.72
E09000027,Richmond upon Thames,2017/18,All,1479,51.7,0.14
E09000027,Richmond upon Thames,2017/18,Boys,729,49.9,-0.04
E09000027,Richmond upon Thames,2017/18,Girls,750,53.4,0.32
E12000008,South East,2017/18,All,82803,47.8,0.01
E12000008,South East,2017/18,Boys,42356,45.1,-0.22
E12000008,South East,2017/18,Girls,40447,50.7,0.24
E12000009,South West,2017/18,All,49425,46.7,-0.07
E12000009,South West,2017/18,Boys,25220,44,-0.3
E12000009,South West,2017/18,Girls,24205,49.6,0.18
E09000028,Southwark,2017/18,All,2386,50.2,0.3
E09000028,Southwark,2017/18,Boys,1178,48.3,0.11
E09000028,Southwark,2017/18,Girls,1208,52,0.49
E09000029,Sutton,2017/18,All,2719,58.1,0.39
E09000029,Sutton,2017/18,Boys,1392,57.3,0.25
E09000029,Sutton,2017/18,Girls,1327,59,0.53
E09000030,Tower Hamlets,2017/18,All,2721,46.8,0.15
E09000030,Tower Hamlets,2017/18,Boys,1330,43.6,-0.12
E09000030,Tower Hamlets,2017/18,Girls,1391,49.8,0.39
E09000031,Waltham Forest,2017/18,All,2484,46.1,0.21
E09000031,Waltham Forest,2017/18,Boys,1218,42.9,-0.05
E09000031,Waltham Forest,2017/18,Girls,1266,49.1,0.45
E09000032,Wandsworth,2017/18,All,1707,50.8,0.3
E09000032,Wandsworth,2017/18,Boys,891,48.9,0.15
E09000032,Wandsworth,2017/18,Girls,816,52.9,0.46
E12000005,West Midlands,2017/18,All,58845,45.2,-0.08
E12000005,West Midlands,2017/18,Boys,30025,42.4,-0.32
E12000005,West Midlands,2017/18,Girls,28820,48.1,0.17
E09000033,Westminster,2017/18,All,1495,52.9,0.47
E09000033,Westminster,2017/18,Boys,743,48,0.13
E09000033,Westminster,2017/18,Girls,752,57.8,0.81
E12000003,Yorkshire and the Humber,2017/18,All,53178,45.1,-0.02
E12000003,Yorkshire and the Humber,2017/18,Boys,27121,42.4,-0.25
E12000003,Yorkshire and the Humber,2017/18,Girls,26057,47.9,0.23
E09000002,Barking and Dagenham,2018/19,All,2353,46.4,0.16
E09000002,Barking and Dagenham,2018/19,Boys,1245,43.7,-0.06
E09000002,Barking and Dagenham,2018/19,Girls ,1108,49.4,0.4
E09000003,Barnet,2018/19,All,3804,57.1,0.57
E09000003,Barnet,2018/19,Boys,1986,54.9,0.35
E09000003,Barnet,2018/19,Girls ,1818,59.4,0.82
E09000004,Bexley,2018/19,All,3115,49.6,-0.09
E09000004,Bexley,2018/19,Boys,1577,46.8,-0.35
E09000004,Bexley,2018/19,Girls ,1538,52.5,0.16
E09000005,Brent,2018/19,All,3038,50.2,0.47
E09000005,Brent,2018/19,Boys,1525,47.2,0.18
E09000005,Brent,2018/19,Girls ,1513,53.2,0.76
E09000006,Bromley,2018/19,All,3312,50.8,0.03
E09000006,Bromley,2018/19,Boys,1599,47.5,-0.29
E09000006,Bromley,2018/19,Girls ,1713,54,0.33
E09000007,Camden,2018/19,All,1571,48.6,0.09
E09000007,Camden,2018/19,Boys,646,42.7,-0.42
E09000007,Camden,2018/19,Girls ,925,52.7,0.45
E09000001,City of London,2018/19,All,.,.,.
E09000001,City of London,2018/19,Boys,.,.,.
E09000001,City of London,2018/19,Girls ,.,.,.
E09000008,Croydon,2018/19,All,3640,45.5,0.07
E09000008,Croydon,2018/19,Boys,1802,42.4,-0.17
E09000008,Croydon,2018/19,Girls ,1838,48.5,0.31
E09000009,Ealing,2018/19,All,2956,50.9,0.58
E09000009,Ealing,2018/19,Boys,1507,47.9,0.32
E09000009,Ealing,2018/19,Girls ,1449,54.1,0.84
E12000006,East,2018/19,All,60993,47,0
E12000006,East,2018/19,Boys,31157,44.5,-0.24
E12000006,East,2018/19,Girls ,29836,49.7,0.25
E12000004,East Midlands,2018/19,All,47019,45.8,-0.06
E12000004,East Midlands,2018/19,Boys,24079,43,-0.31
E12000004,East Midlands,2018/19,Girls ,22940,48.8,0.21
E09000010,Enfield,2018/19,All,3606,46.5,0.12
E09000010,Enfield,2018/19,Boys,1840,43.7,-0.16
E09000010,Enfield,2018/19,Girls ,1766,49.4,0.42
E92000001,England,2018/19,All,540006,46.8,-0.03
E92000001,England,2018/19,Boys,275185,44.2,-0.27
E92000001,England,2018/19,Girls ,264821,49.6,0.22
E09000011,Greenwich,2018/19,All,2364,45.3,-0.18
E09000011,Greenwich,2018/19,Boys,1171,42.7,-0.39
E09000011,Greenwich,2018/19,Girls ,1193,47.8,0.03
E09000012,Hackney,2018/19,All,2230,49.2,0.29
E09000012,Hackney,2018/19,Boys,1049,45.8,-0.04
E09000012,Hackney,2018/19,Girls ,1181,52.3,0.58
E09000013,Hammersmith and Fulham,2018/19,All,1326,53.9,0.27
E09000013,Hammersmith and Fulham,2018/19,Boys,632,50.4,-0.1
E09000013,Hammersmith and Fulham,2018/19,Girls ,694,57.1,0.59
E09000014,Haringey,2018/19,All,2336,46.9,0.24
E09000014,Haringey,2018/19,Boys,1212,44.1,0.02
E09000014,Haringey,2018/19,Girls ,1124,49.9,0.47
E09000015,Harrow,2018/19,All,2210,50.9,0.39
E09000015,Harrow,2018/19,Boys,1095,47.2,0.04
E09000015,Harrow,2018/19,Girls ,1115,54.7,0.71
E09000016,Havering,2018/19,All,2829,48.5,-0.05
E09000016,Havering,2018/19,Boys,1408,46,-0.29
E09000016,Havering,2018/19,Girls ,1421,51,0.2
E09000017,Hillingdon,2018/19,All,3203,47.7,0.11
E09000017,Hillingdon,2018/19,Boys,1679,44.2,-0.18
E09000017,Hillingdon,2018/19,Girls ,1524,51.5,0.42
E09000018,Hounslow,2018/19,All,2731,49.3,0.37
E09000018,Hounslow,2018/19,Boys,1396,46.5,0.12
E09000018,Hounslow,2018/19,Girls ,1335,52.2,0.62
